gene_name	exontotal
KCNE2	801
ICAM4	2085
ATL2	3353
FRMD4A	6779
GPATCH2L	12661
FAM120B	5685
CYP39A1	2432
TRIM39	25076
MIR6859-2	201
MIR7111	71
MIR7109	64
MIR6770-2	177
LOC101926935	6279
MIR7112	128
SIRPB2	2828
FAM58A	1283
ZNF577	3378
UCK1	2214
TRIM45	3575
ADAMTS2	7047
EPB41	6269
PTPRE	5489
CLN5	2796
UQCRHL	537
SPRY1	3036
GLYAT	2471
TIMM17B	1092
CALCOCO2	3802
PDLIM4	2288
SLC15A5	2914
SRSF1	6690
MSL1	3810
ZWILCH	3268
ZFAT	5046
TUBGCP2	5000
ZNF582-AS1	3070
CXorf28	671
PIN1	1324
POU6F1	5290
OTOG	8783
HSPB2-C11orf52	1522
SNHG18	1484
RPS2P32	1024
CRYM-AS1	2301
RPL23P8	522
MIR3652	130
LOC100294145	29504
SPAG9	8760
SLC14A1	4426
MAG	2519
MBOAT7	3081
ZNF610	2375
AIMP1	3251
CLDND2	970
MYLK	8149
RAB34	2039
SRGAP2D	4589
RELA	3032
SAP30L	6264
ZPBP	1218
CDR2L	3528
TRPC4AP	3151
ZNF614	4671
DOCK5	7503
MLC1	4161
HSPA4L	3251
PCBP1	1749
PDGFRA	6551
SLC29A1	2870
SPRR2D	680
FGFR1OP	3723
KATNA1	1975
FAM8A1	4740
NCALD	4476
FZD1	4349
TULP1	2111
RPLP0	1256
IQCG	2332
CCDC171	4333
KAT8	1813
IQCD	1366
EXOSC9	1631
PCDHB19P	4623
SNORD49A	70
SNORD52	315
ABHD17B	3255
FAIM3	3077
C16orf96	3410
COMMD5	1776
OTUD3	6506
KIAA1024	6738
TP53TG3	5644
NDUFC2-KCTD14	2432
SNORD15B	145
HLA-DRB3	1152
CAPRIN1	6842
TAAR8	1028
ZNF107	9602
PKI55	3303
STAU2-AS1	2065
CATSPER2	1964
FRMD6-AS1	2226
SH3GLB2	2292
MTHFSD	3311
ATP1A1-AS1	2628
LOC101928259	594
LOC101928201	1181
NKAPP1	2417
BTBD3	5186
BARD1	5495
AKAP17A	6544
LOC375196	1056
GGNBP1	993
BAX	1298
LOC100129316	5245
LOC100129931	4296
POP4	2587
MASP1	9976
CRABP2	1159
CPT1A	5465
DUSP7	3230
DSC1	4239
SLC6A9	3676
HRASLS2	738
ZNF592	8168
RBM38	2479
OR2M4	935
SURF2	839
RNF139	3310
TRIM58	5150
RFX3	10613
RBM4B	1840
RSPH4A	2834
APOL5	1432
ZNF436	4810
RAB8A	2169
MCF2	4211
MB	1384
MAGEA11	2076
CACNA1S	6124
MEIS2	4407
SCGB1A1	449
SLA2	2546
LOC101927750	941
LOC100133267	476
ALG1L	914
SACS	15849
PHLDA3	1626
PEF1	2211
RAC3	1054
PRDM12	2487
GJC1	7814
OGFOD1	3007
CRTAC1	3050
DACH1	5228
PADI4	2249
OAZ3	1080
DAO	1585
LAMA1	9594
ATL1	2916
CARNS1	3959
GLRA3	3664
RFPL3	1498
ANP32D	395
PFAS	5357
CEP57L1	3091
BRD8	4641
BPY2	3585
RUNDC3A	2421
XKRY	3160
PRY	2466
SLC33A1	3999
IFRD2	2097
LAPTM5	2232
KDM4E	2338
GLI3	8199
PRSS37	1192
KXD1	1621
GLRA2	3709
ZNF534	2834
OR7E24	1019
DMP1	2680
AP1AR	2898
C12orf56	2056
SLC39A9	5780
PLEKHM1P	2911
KRTAP4-3	941
KRTAP3-3	703
KRTAP2-4	763
METTL24	1096
RGPD6	15568
AGO2	3481
ACIN1	5122
CLTA	1229
ZNF408	2534
POGZ	6607
BNC1	4607
GYG2	3383
FMNL1	3934
AP1G2	2932
KLK2	2953
KAT6A	9267
GOLGA8A	6533
SQSTM1	3325
CD5L	2231
EML4	5526
ACER3	4376
MLXIP	8404
UBE2F-SCLY	2953
MIR1278	80
MIR548I3	148
MIR1252	64
MIR548I4	58
MIR548I2	148
MIR548I1	148
MIR302F	50
MIR1276	82
MIR1275	79
MIR548H3	156
VAV3	4840
NXPE4	2157
ZNF846	2127
SYCE3	439
TUBB2A	1615
CYP2C18	2536
CYP2C9	1852
CYP2C19	1464
ODF2	4835
KCNQ4	4085
DDX42	3992
NMNAT3	2061
ZMYM1	4657
ZNF84	14860
SAA1	673
PTPN22	3627
SMARCA1	4083
GRM2	3349
FBL	1156
UBE2E3	2089
GHDC	2912
SPTAN1	7850
STRA6	5341
ZNHIT2	1295
AP2A1	3475
HS1BP3	2396
LMBR1	4873
KCTD15	4925
TSEN34	3662
ZFP90	4380
ARHGEF4	4234
ARHGEF18	5855
FKBP1B	992
CHD6	10779
MFSD7	1856
FNBP1	5408
DEFB103B	1020
ZNF839	4295
IPCEF1	6939
TIFA	3071
IPO8	5664
LEF1	4115
SSBP2	4448
KLHL14	4252
CCRN4L	1981
CASP14	3137
TPX2	3644
STX8	960
MIR5001	99
MIR5008	93
MIR5000	102
MIR548AP	62
MIR4999	90
SLC13A2	2632
TTC31	2916
SUDS3	4716
ZNF696	4681
OR2T1	1109
GJC2	2379
SALL4	3480
ASPHD2	3309
CORO1B	1967
HIF3A	6376
SIL1	1977
NKX2-4	1617
CCL4L2	2038
SALL2	5588
COL24A1	6440
ZNF429	2357
LOC100132057	2952
NFKBID	1822
PODNL1	3596
YIF1B	3168
C16orf52	4439
PLGLB2	6021
CRYBA4	805
HLA-C	10711
RHOB	2366
SAP30	1105
PLEK	2843
PLD2	3471
SSFA2	7918
AKAP9	12413
SPINK2	1029
SNAR-E	119
SYT9	3951
ANXA2P2	1309
COX7A2	750
PKD2L1	3057
ITPRIPL2	7698
CCDC62	3203
CTSL3P	652
TAAR3	1077
TYRO3P	863
CALB2	1459
ZNF726	1960
PIANP	3029
SCIMP	2418
NUDT22	1120
PRPSAP2	2138
LMAN1	4821
MYCBP	2560
MMD	2716
PIGN	4844
PDCD6IPP2	2086
FUT8	5639
TBC1D10C	1985
WDR92	2890
C14orf159	4305
DNAJC16	6284
JADE2	6946
LGALS3BP	2254
PIR	1550
APOL1	3049
AGPS	7645
POLR3C	1836
ARID3B	4232
TBL3	2572
PAICS	3508
CHD9	11423
KIAA0513	7858
MIR22HG	2734
NDUFAF5	2398
GCNT2	7296
USP49	9997
NLE1	2729
NR2F1-AS1	6736
HS1BP3-IT1	598
TM4SF1-AS1	928
MTX1	1640
MTRR	3283
UFM1	3532
FAM26F	1129
LYPD1	2998
SLC9A6	4714
XAGE2B	664
SNTN	1580
PKD1P1	6264
LOC283693	1649
HERC2P9	2933
LMF1	4656
TATDN3	2599
OBP2B	1060
NUPL1	4319
GFAP	4025
LAS1L	2475
REEP1	3905
RCCD1	2758
CDK11A	2607
DHX32	3059
PEBP1	1487
P2RY4	1638
GJB5	1353
NBEAL2	8774
ARHGEF11	6848
RBM47	5240
STOX2	4650
FAM20C	2770
OSMR	6129
TRIM15	17515
ARHGEF26	5398
FANK1	1285
ANKRD13A	3893
VKORC1L1	5893
CNKSR3	3215
FAM163A	2904
MPP7	5187
PTCHD1	5288
PYROXD1	4112
SMEK2	5591
SNX27	7073
MIIP	1791
ZNF747	2369
KCTD14	1893
ZNF586	2266
TYSND1	4125
IL34	1909
ZSCAN29	5602
LSM10	848
PLAC1	1123
ALKBH6	970
ADAM30	2991
ACE2	3488
PARP16	2528
NPHS2	1863
HRASLS5	3107
MRPS6	987
SMTN	3826
PSENEN	830
NEK6	3248
IGFN1	11786
SLC7A1	7330
RFWD2	2769
ARHGEF15	4229
DCTN1	5240
CIB2	1583
PRMT9	2817
CEP95	2669
DLG3	6759
EMR3	2407
TMEM74	2085
CASC6	1604
BRE	2088
TTPAL	6230
TMEM220-AS1	1351
CLOCK	11084
SLC7A10	1935
PSMF1	3834
TOMM34	2042
KBTBD7	2991
EMILIN3	3823
MYCBPAP	3171
ZNF775	2272
LRRC16B	4560
PPP1R12B	11963
FAM171B	3547
TMPRSS3	3476
MAPK7	3312
CLEC9A	1664
GNB4	6418
PDLIM2	5849
SNRNP35	2434
CCDC33	4774
LIFR	10382
C2orf44	3890
KANSL1	11171
CPXM1	2386
MLN	567
TMEM72	1080
NBPF6	2206
DDHD2	5765
LOC653786	2652
SNORD98	66
HNF4A	5457
SLC44A3	2561
GBA3	2217
GLRX	1655
FGD5	5877
GMEB2	4200
OR52A1	938
CALD1	5490
ATRX	11185
LINC01300	792
MORF4L1	2146
ILK	2174
NBPF7	1603
CLDN2	3434
FAM131A	2797
CAMTA2	4903
TRAPPC6B	3345
RAD51AP1	2259
LOC388813	1656
NUDT10	1998
FDCSP	560
SNAP23	2633
CPNE4	4498
PNPLA8	4959
AZIN2	2307
LINC01304	2413
CEBPZOS	3329
DEDD2	2278
QTRTD1	4014
SHQ1	2837
ZDHHC6	2159
LGALS14	1078
EXTL2	3365
RND3	2948
NABP1	4009
TGM6	2279
AP4S1	6313
PRMT1	1556
TMEM203	1555
POC1B	3609
ZNF668	3929
APH1B	4187
EIF2B4	1883
TBC1D3B	2096
TBC1D3C	4182
VPS52	21785
CALCA	1406
CA5A	1077
CANX	4935
LSP1	3496
HNRNPDL	4236
HSD17B7P2	1393
MSL3P1	1988
CORIN	5298
LINC00961	1544
UPP1	2097
FAM131B	4434
ZNF3	4146
ZDHHC2	3999
NAT8B	831
SPATA31C2	3757
TLCD1	1192
CCDC166	1318
NR2F2	6104
DLG2	9316
GPR160	2009
RNF11	3071
FAM162A	833
ABI3BP	4438
FAM91A1	5300
GGT1	2958
GDF9	2511
PROK2	1609
SYTL2	5023
STT3A	4295
RNF144B	5028
SIGLEC10	3383
SLITRK4	9239
RBMX	3407
BCKDHA	1765
C8orf44-SGK3	4544
TCTN1	2212
SERINC5	7004
TMEM56	7177
TRIM6	3502
ABI2	6914
ATP5J2-PTCD1	5529
LENEP	647
GPRC5C	2429
AGPAT9	2908
HLX	2274
DOCK3	8702
NIT2	1261
SPON2	2468
SRPR	3078
ADAM8	3278
STYX	4852
SAP30L-AS1	3447
CSE1L	3602
SLC4A11	3517
ASB2	3322
ZNF559-ZNF177	3239
CCM2	2158
PPIC	1231
CYP2C8	2014
FOXJ3	5761
MOGAT3	1401
ARF5	1090
PDPK1	7229
NT5DC2	2345
TAB3	6776
GCSAM	3336
LACC1	4542
TRIM23	4048
WDR4	2629
ANKEF1	3812
AP1S1	1292
PRKCG	3110
CST8	914
ABCF1	23445
SAA2	2326
GAGE4	521
GCM1	2758
COL2A1	5033
H2AFX	1592
GTF2E2	1528
PROSC	2561
HP	1424
GIF	1504
LINC00598	5249
C21orf88	2188
LOC494141	2761
KCNQ1DN	1092
NOL7	866
SSTR2	2962
CTR9	4284
RBM4	4225
PGAM2	854
MTM1	3421
PCDHGB4	4589
PCDHGA12	4809
EHD1	3932
SNX13	6345
DPH3	4062
RASL11A	1539
NDUFS7	778
CCDC105	1744
ABCA10	6291
SCGB1C1	428
SLC24A4	9854
MRRF	1992
ALKBH8	4055
RPUSD2	2113
LOC100130357	2300
IGF2BP1	8754
TXNRD1	4592
PRKAG1	1952
MIR1283-2	86
MIR664A	77
OR3A3	965
LOXL1	2354
EPDR1	2727
GRID1	5833
ZC3HC1	2007
LGALS13	591
OSER1	2238
ANKRD39	894
RRS1	1705
DHX33	5606
C2orf83	2083
C1GALT1	6233
CLECL1	1720
PAFAH1B3	1227
GRAMD1C	4085
ACSS1	4005
SPATA17	1224
FAM227B	1978
GPRIN1	4206
PLEKHG4B	11497
XKR4	3906
RAD51AP2	3586
CBX1	2670
NANOS3	831
PCBP2	3156
NFE2	2043
XRCC2	3066
WNT1	2280
VEGFC	2082
OXA1L	1709
DCN	2500
ACO2	2723
SHOX	8754
SELE	3861
TESK2	3065
LOC100289473	743
ATP6V0CP3	618
CES2	4191
LINC00664	3749
DEFT1P2	986
DEFT1P	986
NEBL-AS1	629
AZGP1P1	1179
MT1JP	405
FAR2P2	2849
TRIM51HP	1002
TRMU	1953
WHAMMP1	1560
ZNF607	4532
ZNF347	4558
PFN1	1362
RPS6KC1	4382
BBS12	3429
ANK2	14472
ANPEP	3629
SPIB	3528
CCRL2	1863
LOC101929517	1377
IQGAP1	7172
BLNK	1811
CLEC3A	1993
GALR2	1355
TSEN15	2069
XAGE3	562
LRRC3B	1689
SNAP47	2362
KBTBD13	3122
ZNF883	2374
PACS2	6837
ZNF419	2377
TEK	4748
SUOX	2456
C14orf80	2037
ACACA	11317
OSBPL10	4201
HTR2B	2228
IL5RA	6292
CXCR6	1951
KLF1	1611
LBX1	1283
CELF1	9066
KHDRBS1	3720
CLK1	4010
EDN2	1238
EDN1	2095
SEMA3E	6711
PSORS1C3	4130
TGIF1	4121
OR51B5	1928
C2orf57	1419
WBP2NL	2310
CCL4L1	1638
FAM210A	4379
PNMA5	3435
USP17L29	12736
RPP25L	1100
ALDH1A2	3785
PDZD2	11618
SPATA32	1279
CDYL2	2228
SPATA2L	2336
KRT78	1769
C16orf46	2221
STIM2	5232
KIAA1683	4439
RNF40	6037
RBMY3AP	314
ANXA2P1	1342
FAM197Y2	2315
CCNB1IP1	1678
IGSF3	7315
CCL5	1307
CCL4	664
CCL3	793
SLC4A3	4303
MAPK3	1924
NMI	1471
MTMR4	5810
MAPK1	6071
MTMR6	5200
FGL2	4266
ACSBG2	2859
GGT3P	2023
HLA-H	10026
PCDHGA1	4649
SELP	3154
ONECUT2	16120
TBKBP1	4125
MIR6851	66
PRKCA	8753
PRKAR1A	5220
ACTN4	3933
AQP3	1865
NEDD8-MDP1	765
NXF1	4127
GPI	4455
NDUFC1	1445
DENND4C	7967
KIF15	4802
C6orf62	2467
SYT2	7769
USF1	1823
NR1H2	2080
UGT1A4	2369
TRIO	10170
AKT1S1	3003
PSMD9	2346
SS18	3425
SSX1	1375
PRKAA2	9343
NCAPH2	3770
PLEKHA5	9547
GDAP1L1	2952
ALDH18A1	3445
UBXN8	1439
ESF1	3249
DKFZP586I1420	2744
OR7E91P	1227
PPP2R5E	4210
WDR38	1379
CLPTM1	2825
TCEAL3	1122
SYDE1	3246
FKBPL	5368
LSM7	516
H2AFB2	1779
OLFM4	2914
EGR3	4500
EFNB1	3325
LASP1	4271
IRF6	4496
DNAJB1	2230
GZMA	891
CD28	4882
NEDD4	7690
AHSA2	3025
ZNF620	2833
LILRP2	2120
CLK2P	1811
SERF2	5635
STK4-AS1	2113
LOC158960	596
LOC100128233	1438
SECISBP2	3707
C2orf78	3042
GIGYF2	9104
COQ3	1258
SCN3B	6441
SLC35C1	3931
C11orf80	2309
KLK8	1142
STEAP2	7914
SLC4A8	13173
USP43	4149
NFIX	5879
ZBTB5	4647
RNF10	3830
RLN1	1002
HSPA13	3981
SRP72	3857
SPTBN2	7830
FAM107A	4422
MS4A3	1648
TPH1	1805
CAPZA2	2346
CBLC	1580
TIMM10B	2839
RAB35	2939
UHRF1BP1L	5415
HIAT1	2625
NOTCH4	43176
SARS	4872
DCTN5	7845
ACKR2	2957
NKAIN4	1423
FOXP3	2370
CLCN7	4201
ELF3	3238
GRIA1	6057
TCAIM	5458
MLNR	1237
B4GALT1	4193
TNFAIP2	4164
KRT75	2116
ATP6V0D1	1662
HYOU1	4617
DCTN2	2106
LAPTM4A	1758
NUDT16	6774
RASGRP1	5008
ZNF780A	7497
TBC1D7	1319
CLEC12B	3494
BTN3A1	4181
DOK7	2858
SFTPA1	2271
GOLGA4	7927
PIN4	2577
RNF212	3086
ZNHIT6	6187
TXK	2899
LOX	5392
HMOX1	1585
C11orf97	600
PRDM1	5390
BTF3	1243
ROS1	7325
SDC4	2607
MAPK14	4529
XIAP	8537
RFNG	1820
BIRC3	7804
BOLL	3602
LRRC49	3630
OPA1-AS1	499
CKMT1B	1769
RPUSD3	1218
ZNF660	2202
TEX37	792
NANP	3797
COL6A2	4313
DAND5	1730
LOH12CR1	2081
PI4KA	6811
ZBTB33	5308
GNE	5463
TRAF5	4106
NOVA2	1873
NOVA1	4285
DRD2	2691
CTXN2	2693
GC	2251
ELFN2	8785
MDC1	58250
ARVCF	4016
HMGA1	2394
WASL	4436
SPIN2B	1280
CCDC9	2066
GPATCH4	2147
RAD51C	1504
CACYBP	3308
LAMP3	3335
ZFP62	4021
PIK3IP1	2467
ALDOA	3207
GDA	6223
SYT13	5367
CMIP	4481
ARNTL2	7427
MIR185	81
MIR3132	74
MIR3131	62
MIR3130-2	74
PSPC1	3233
P2RX7	4052
CLIP1-AS1	893
ZNF821	2260
CYP24A1	3254
BDH1	3680
PANX1	2763
FEM1C	5810
DUS3L	2098
IL22	1142
APOL4	3409
PPP1R14D	868
CECR5	1871
PCDHGB3	4622
RPL13	4874
UGT2B15	4506
SNORD115-47	32
MFF	2279
TP53	3090
SOX8	3046
SLC40A1	3347
OBP2A	747
RASA2	2568
LOC101927881	1088
LOC101927630	438
BTD	3182
NEURL3	2062
TPM1	3334
KRT37	1711
KRTAP5-8	1182
KRT36	1637
DCAF16	4545
ZDHHC7	3264
NSUN7	3686
THAP9	4033
ANKRD55	2488
AAGAB	3395
CCDC51	1720
IGFLR1	1191
IL26	1042
STK32B	3212
MORC4	3817
ABCB5	7698
USP27X	2698
GATM	2577
EVC2	5107
GFRA1	9584
C12orf49	2770
CEP170B	6791
WTIP	2196
SLC38A8	1415
SMARCAD1	5875
SPATC1L	2311
ZNF805	10122
HYPK	1329
SMOC2	3137
COCH	2871
OSBPL6	7430
GTF2H1	3499
GSC2	615
HIST1H1T	724
ZNF354C	2368
LOC102723377	422
LOC102723439	512
CCDC84	1506
LOC339862	2326
ITCH	6498
YPEL3	1703
ARHGAP39	5130
ZNF484	4025
TTYH3	4808
HLA-DRA	8933
SLC35G2	2058
TSGA10	3810
C16orf97	442
IFT74	2749
LRRTM4	4812
KIAA1549L	11600
TMEM183A	2212
TMEM169	3459
EIF2B3	2164
DAZ3	10491
ZNF585A	7083
IDE	5960
CLCNKB	2964
MCPH1	5012
CNTN1	7282
C1orf168	3440
TP53TG3C	3465
ZSCAN1	2048
PPP3CC	2333
KIF1A	9174
HLA-DQB1	4924
SLC25A51P1	1604
CENPBD1P1	3339
MEI4	2583
ELP5	2686
C20orf144	568
OVCA2	1074
TMEM55B	1841
ANGEL2	4640
RNF133	1442
ADAD2	2293
TATDN1	1135
ANKRD12	11609
SLC25A27	2977
CD300E	3521
TMEM189-UBE2V1	2910
NTHL1	1061
MAZ	2854
GRIK5	3514
UBQLN2	3417
ST6GALNAC6	2759
STOML2	1421
LOC101929148	5852
VNN2	2496
LIN7A	1224
CDC23	3139
PGLS	1029
GPS1	2346
KCNN1	2646
GRIA3	5707
MCAT	2089
WBP1	1219
WDR3	3850
MAPKAPK2	3507
BZRAP1	7666
PIWIL1	3627
MMP20	1946
MED1	8131
OR1F1	938
OR1C1	944
PDHX	2977
LRIG3	4180
UGT2B28	1827
RUFY4	3791
IRG1	2086
CEBPG	3857
SPDEF	1908
CLPB	3360
PRR5L	4203
HRH4	3665
CT47A6	12900
PCIF1	2680
FAM217B	5260
FKBP11	1329
FAM13B	5596
PNMA3	5737
ZNF223	2414
CCR10	1242
NRN1	2616
DSE	4173
SLC15A3	2108
PCDH12	6558
ALG6	3356
ALG5	1203
RAB6B	5552
LY6H	1151
CPS1	6125
SNHG10	3139
ZNF415	2967
LINC01098	1028
MIR423	93
PARD6G-AS1	3732
GLB1	2675
SALL1	5356
MMP2	3829
RBM28	2790
LOC81691	2868
RPL7	830
EIF5A	1809
FCGBP	16354
TTTY7	2720
RPL29P2	648
NUDT9P1	1076
BRD1	4596
LATS2	5534
BCAR1	5378
WHSC1L1	7027
KIF16B	6219
CDH2	4351
C11orf70	2257
FRMD3	6009
PCSK9	3879
RHBDD1	5148
TNNI2	798
MTFR1	3052
NPNT	4719
AGAP9	4758
CITED1	1611
SLC17A5	3303
GCNT7	2057
LIMK2	4941
SCPEP1	1932
HSD17B14	1228
FASTKD5	2861
FKBP5	10615
CEPT1	2338
FAM133CP	2518
MST1P2	2622
LOC100133050	697
ZNF771	1452
CRBN	2580
PCDH19	9750
UBR4	15776
TMEM133	1855
IL4	614
KCNG3	3822
ZNF22	2202
PNMAL1	3693
SEPT12	1514
DAB2IP	6064
WDR88	1711
HM13	3476
CYLD	8785
SH3TC1	4242
CDC14B	5728
INHBE	2435
CRISPLD2	4574
RLF	6242
COPZ1	2011
APEX2	2089
CALCRL	6140
SERPINB7	2357
DEGS1	2060
FBXL5	3632
PPIE	4725
RNF145	4297
CTDP1	3827
NIPSNAP1	2226
UBE2G2	3491
CRHR2	3574
ZNF202	4046
C6	3948
CFL1	1253
ACAT2	1542
RPL10A	713
RPH3A	4570
PTPRR	4466
TUBG2	1807
PRDX6	1665
ARSG	2831
BDP1	11036
CCS	1024
SNORD103A	174
KATNBL1P6	2155
ZNF733P	1763
ZBTB37	2369
HAUS2	3938
C10orf131	1168
FLYWCH2	1023
ABCD2	5331
INPP4A	6971
CSNK1D	3783
PPM1M	2331
MYOZ3	3830
MMP28	3142
LINC00682	1422
FAM134C	3800
TRIM50	2153
ACTL9	1433
SLC5A12	6238
AMIGO2	3948
PIGO	4420
FAM175A	2814
TRAF3IP3	2706
ERVMER34-1	2981
C20orf78	645
C8orf87	585
RBM46	3845
SIGLEC7	1747
P2RY6	3183
MEN1	3721
CTAGE4	5250
KSR2	16988
CCDC50	8937
AP2S1	885
CLCNKA	2516
UBE2M	1518
HSF4	2603
SLC17A1	1830
FSCN1	2791
RNF8	5729
CACNA2D2	5822
FBXO9	4968
ZNF257	3516
PEX1	4393
ACTB	1806
AOC1	2488
ACTA1	1485
PAGE1	658
CACNG4	3426
PDCL	3081
NTS	1235
ZNF594	4875
NT5C1A	1101
ALAS2	2122
TMEM176B	1665
VCL	5464
VAMP1	3134
MAMDC4	3633
USP8	5675
TXN	863
SNORD56	70
SNORD57	71
PPP5C	2219
NPFFR1	1307
CENPK	1720
PARVG	3744
PPP2R2C	4673
UBE2L3	3941
CSF3R	3679
GPR111	5115
RPL23AP7	1867
SLC13A3	4220
TUT1	2817
YTHDC2	6278
ARL6IP4	2226
ITFG2	2350
LMAN1L	1722
MCTP1	4304
NDUFA2	891
MIR27A	77
EPN3	3917
HEATR9	1954
SEC24B	4622
VPS37A	4573
ZMAT1	4155
RNU5E-1	63
SNORA44	131
SNORA43	133
SNORA80E	133
SNORA40	126
SNORA71E	135
AGO1	7459
RPS27L	1080
ZNF226	3291
SLC25A39	1598
IFT52	1661
OR51E2	2783
SNORD115-21	79
SNORD115-20	81
SNORD115-19	243
SNORD115-18	243
SNORD115-17	243
SNORD115-7	81
SNORD115-16	81
SNORD115-6	81
SNORD115-15	79
SNORD115-5	237
SNORD115-14	80
SNORD115-4	81
SNORD115-13	81
SNORD115-3	81
SNORD115-12	240
SNORD115-2	81
SNORD115-11	324
SNORD115-10	401
SNORD115-9	240
APH1A	2260
SNORD115-8	81
RAG2	2817
PA2G4P4	2750
LOC340357	768
EYA3	6253
CTAGE10P	2971
HEATR4	3533
TSG1	4788
PITPNB	3022
CYB5D2	1998
GUSBP9	1212
OR9K2	1007
RELL2	2815
TRIM9	6899
HSPA12B	3135
SYN2	5691
RAD51B	3841
USP46	8418
GPBP1	4631
RGS22	4599
TMEM255A	3487
CASP12	1774
MIR3177	81
MIR3176	89
NBPF11	11332
FER1L6-AS1	2309
LINC01120	3052
LOC100128398	1893
NDUFAF4P1	2327
LOC339803	2555
LOC646938	479
PRSS55	1347
AGXT2	2392
CD72	1539
SMARCD1	3416
HK2	7075
RNF135	2214
APRT	802
APOC2	725
APOA4	1457
TBCC	1650
APBB1IP	2622
LYRM7	6208
BAGE4	1747
GJA5	3264
CRAT	2850
DHPS	1521
PRR16	1760
DMGDH	4171
RAB3IL1	2591
ZBTB39	6236
PJA2	4859
ATP1B2	3325
FECH	7267
ATP1A2	5434
VRK1	1690
VLDLR	3617
STUB1	1688
PRIMA1	3645
FLT4	6358
CNBD2	1915
ERRFI1	3125
CYCS	5535
ANKRD16	2630
PDE7B	5374
SELV	1698
SRPK2	4096
TBL1Y	2388
R3HDM4	1801
CCDC74A	1660
EFCAB7	2347
PAPD7	4074
TECPR1	5719
SEMA5B	5681
SPRYD7	3197
FGF13	3441
SMYD2	1673
ZDHHC13	2417
SIK2	5663
NLRP12	3856
SULF2	4430
PPP1R18	33013
PDS5B	7463
OLAH	1825
WTH3DI	3666
USP33	4600
LYRM9	1477
PQLC2	3612
MCMDC2	5588
S100A8	520
S100A9	574
SCGB1D2	435
OR7A5	2137
SDC1	3367
FAM20B	5938
KCNJ9	3026
MAPK8IP1	3193
FOXB1	1457
ZRANB2	3134
RHBDF1	2974
SLC36A3	2972
UBE2A	1872
ORC5	2241
CERS2	2533
PIK3AP1	4794
TRMT61A	3237
NKD1	8706
MS4A6A	2535
GLIPR2	2851
PDF	1156
RAB38	1457
ETF1	4251
LYG2	862
GPAM	6365
HSPBP1	2065
HAPLN3	1888
KCNH5	3943
HECW2	6897
SSH1	9175
REXO4	2484
SERPINB6	2840
ANKRD45	2665
CLDN1	3448
TIGD5	2411
SLC25A19	1723
AVPI1	1389
ACTRT2	1421
RERGL	1141
RABL6	3874
CYYR1	3075
NFXL1	4127
NPY5R	1839
OXR1	5388
TMEM136	7731
GNG10	1252
GBA	2783
DCTN6	1119
RRAGA	1649
KHDRBS3	1947
KLHL22	2609
VSTM2A	1281
POFUT2	4938
FAM103A1	1568
SYN1	3197
RILP	1783
NFE2L2	3336
UBE2K	5236
RAP2A	4356
OPRK1	5191
CCR8	1485
CBX2	4991
SCRG1	900
VARS	25951
TTI1	3905
KCNIP2	2749
PYGB	4111
CDX4	852
BAI2	5382
CR2	4150
CD19	1943
AUH	1578
OPN1SW	1093
ATF4	2342
PLCB4	5619
ZNF267	3457
CLPX	2337
C1orf115	2970
CR1	9919
ABLIM1	8278
RBMY1A1	5625
CRYGD	704
MYO9A	8656
CYB561D2	2325
ZDHHC1	1998
MYLPF	648
SYNGAP1	11982
RGS16	2427
SMC5	5940
XIRP1	6458
STON1	5628
ABCD4	3138
PRRG2	1386
COL4A6	6844
KRT15	1832
RRAD	1471
SSB	1694
CDH7	2945
HIPK3	8094
KCNJ10	5304
KCNJ6	2526
DACT2	4216
TPM2	1563
LINC00304	2239
RPGRIP1	3922
MYH10	7719
TCP11	2124
POLR3F	2314
TSPAN16	1253
FAM105A	7040
SMIM23	515
BCL2L14	2224
C15orf26	1568
REM2	1854
C11orf42	1140
C9orf84	5383
SCOC	2344
CCDC42	1373
BBC3	2090
ZNF222	1706
CDH17	3785
RAB2B	2994
TMEM108	4152
IFNA2	1142
ANHX	1756
HEXB	2422
C2CD4C	3122
PRDM6	3019
GDPD4	2517
PTPRS	7309
MAST1	4897
FAM65C	4879
NUMBL	3638
RPS6KA5	4296
CCNYL1	3901
MCOLN3	2837
ACSS3	3017
LOC100129520	2981
PLCH2	4815
ACTN2	5087
DIABLO	3455
MOBP	8778
EPHA6	4562
KCTD5	2457
NRP1	5897
SPINK1	437
RAB30	10407
ADCY7	6237
TMEM126B	1334
LIPK	1191
MED24	3711
PTPN2	3843
AHRR	5648
OVCH2	1713
ZNF175	3780
NOP58	1950
PGRMC1	1916
SERPINB13	3172
VIM	2126
VEGFB	1798
LMO7	8478
TMPRSS4	3530
ASAP2	5689
SLC22A31	1852
CLK4	2494
STK36	4908
ZNF287	4272
AMER3	6471
C11orf68	1556
LRTM2	3984
KRTAP4-9	1099
LOC100130849	559
LINC00861	5450
OSER1-AS1	1847
MRPL42	3240
LOC100506314	1740
ENTPD1-AS1	4256
LOC100505622	682
LINC01095	1176
TUSC7	2098
LINC00608	1554
UCHL3	1153
BEX4	1279
GOLGA8J	5180
GOLGA8M	5237
WFDC1	1467
TPTE2P1	6472
FRMPD1	4900
ZNF81	7854
NUDCD3	4911
LGR5	6687
SNORD45B	70
SMCO4	972
MAS1L	5054
MATN4	2331
C12orf60	1124
