gene_name	transcript_id	halflife	FPKM
BCL7A	NM_001024808	2.47 	3.16969
BCL7A	NM_020993	2.47 	3.16969
BCL7B	NM_001707	5.29 	24.7765
BCL7C	NM_004765	>24	40.419
BCL9	NM_004326	3.03 	1.98547
BCL9L	NM_182557	3.51 	23.9923
BCLAF1	NM_014739	9.69 	11.2704
BCMO1	NM_017429	N.D.	0.0811384
BCO2	NM_001037290	N.D.	0.116962
BCO2	NM_031938	N.D.	0.116962
BCOR	NM_017745	3.13 	3.13983
BCORL1	NM_021946	3.13 	2.09006
BCR	NM_021574	4.95 	6.10812
BCR	NM_004327	4.95 	6.10812
BCS1L	NM_004328	10.67 	7.26522
BDH1	NM_203314	3.39 	0.854287
BDH1	NM_004051	3.39 	0.854287
BDH1	NM_203315	3.39 	0.854287
BDH2	NM_020139	18.92 	3.22497
BDKRB1	NM_000710	N.D.	1.06783
BDKRB2	NM_000623	N.D.	8.03682
BDNF	NM_170733	2.44 	18.267
BDNF	NM_001709	2.44 	18.267
BDNF	NM_170731	2.44 	18.267
BDNF	NM_170732	2.44 	18.267
BDNF	NM_170735	2.44 	18.267
BDNF	NM_170734	2.44 	18.267
BECN1	NM_003766	8.67 	24.9363
BEGAIN	NM_020836	3.03 	0.0718531
BEND2	NM_153346	N.D.	0
BEND4	NM_207406	N.D.	0.00348717
BEND5	NM_024603	N.D.	0
BEND6	NM_152731	15.50 	2.19899
BEND7	NM_152751	N.D.	1.75058
BEST1	NM_004183	>24	3.08499
BEST2	NM_017682	N.D.	0
BEST3	NM_152439	N.D.	0.0116988
BEST3	NM_032735	N.D.	0.0116988
BEST4	NM_153274	N.D.	0.126937
BET1	NM_005868	4.30 	7.41393
BET1L	NM_016526	3.08 	27.1466
BEX1	NM_018476	N.D.	7.15204
BEX2	NM_032621	N.D.	2.02869
BEX5	NM_001012978	N.D.	0.0547616
BFAR	NM_016561	3.28 	22.7942
BFSP1	NM_001195	N.D.	1.29125
BFSP2	NM_003571	N.D.	0.0240262
BGLAP	NM_199173	2.20 	0.195726
BGN	NM_001711	N.D.	265.196
BHLHA15	NM_177455	2.38 	0.170803
BHLHB9	NM_030639	7.25 	2.17967
BHLHE22	NM_152414	N.D.	0
BHLHE23	NM_080606	N.D.	0
BHLHE40	NM_003670	2.22 	18.7868
BHLHE41	NM_030762	N.D.	3.57988
BHMT	NM_001713	N.D.	0.0241411
BHMT2	NM_017614	N.D.	7.55983
BICD1	NM_001003398	2.82 	1.66024
BICD1	NM_001714	2.82 	1.66024
BICD2	NM_001003800	3.64 	9.2021
BICD2	NM_015250	3.64 	9.2021
BID	NM_197966	8.22 	8.96817
BID	NM_001196	8.22 	8.96817
BID	NM_197967	8.22 	8.96817
BIK	NM_001197	N.D.	0
BIN1	NM_004305	6.13 	26.3303
BIN1	NM_139351	6.13 	26.3303
BIN1	NM_139346	6.13 	26.3303
BIN1	NM_139349	6.13 	26.3303
BIN1	NM_139345	6.13 	26.3303
BIN1	NM_139343	6.13 	26.3303
BIN1	NM_139347	6.13 	26.3303
BIN1	NM_139344	6.13 	26.3303
BIN1	NM_139350	6.13 	26.3303
BIN1	NM_139348	6.13 	26.3303
BIN2	NM_016293	N.D.	0
BIN3	NM_018688	2.56 	8.69508
BIRC2	NM_001166	3.64 	14.1762
BIRC3	NM_182962	N.D.	0.141846
BIRC3	NM_001165	N.D.	0.141846
BIRC5	NM_001012270	8.92 	2.72728
BIRC5	NM_001168	8.92 	2.72728
BIRC5	NM_001012271	8.92 	2.72728
BIRC6	NM_016252	4.00 	2.23307
BIRC7	NM_139317	3.39 	0.0759768
BIRC7	NM_022161	3.39 	0.0759768
BIRC8	NM_033341	N.D.	0
BIVM	NM_017693	3.70 	9.37828
BLCAP	NM_006698	3.23 	38.9135
BLID	NM_001001786	N.D.	0
BLK	NM_001715	N.D.	0
BLM	NM_000057	3.17 	0.186342
BLMH	NM_000386	8.47 	13.8711
BLNK	NM_013314	N.D.	0
BLOC1S1	NM_001487	>24	73.8332
BLOC1S2	NM_173809	3.64 	11.2661
BLOC1S3	NM_212550	2.35 	6.03401
BLOC1S4	NM_018366	2.70 	9.23322
BLOC1S5	NM_201280	2.86 	3.62725
BLOC1S6	NM_012388	6.40 	16.8183
BLVRA	NM_000712	9.71 	25.9066
BLVRB	NM_000713	>24	40.4905
BLZF1	NM_003666	2.78 	5.15031
BMF	NM_001003942	2.17 	1.82645
BMF	NM_001003943	2.17 	1.82645
BMF	NM_033503	2.17 	1.82645
BMF	NM_001003940	2.17 	1.82645
BMI1	NM_005180	4.16 	12.4069
BMP1	NM_006129	5.33 	37.9671
BMP1	NM_001199	5.33 	37.9671
BMP10	NM_014482	N.D.	0
BMP15	NM_005448	N.D.	0
BMP2	NM_001200	2.33 	0.371689
BMP2K	NM_017593	3.28 	7.04695
BMP2K	NM_198892	3.28 	7.04695
BMP3	NM_001201	N.D.	0.00501238
BMP4	NM_130850	N.D.	23.3729
BMP4	NM_001202	N.D.	23.3729
BMP4	NM_130851	N.D.	23.3729
BMP5	NM_021073	3.08 	0
BMP6	NM_001718	18.18 	0.0225281
BMP7	NM_001719	N.D.	0.0091485
BMP8A	NM_181809	N.D.	0.115598
BMP8B	NM_001720	3.57 	0.0316673
BMPER	NM_133468	N.D.	3.51009
BMPR1A	NM_004329	2.67 	4.99726
BMPR1B	NM_001203	2.44 	0.0714519
BMPR2	NM_001204	6.86 	6.67961
BMS1	NM_014753	6.00 	4.47089
BMX	NM_203281	6.58 	0
BMX	NM_001721	6.58 	0
BNC1	NM_001717	N.D.	0.294708
BNC2	NM_017637	2.63 	1.32146
BNIP1	NM_013978	3.13 	5.28379
BNIP1	NM_013979	3.13 	5.28379
BNIP1	NM_013980	3.13 	5.28379
BNIP1	NM_001205	3.13 	5.28379
BNIP2	NM_004330	3.39 	19.4294
BNIP3	NM_004052	12.35 	28.0196
BNIP3L	NM_004331	13.44 	49.1468
BNIPL	NM_138278	N.D.	0.0989511
BOC	NM_033254	3.17 	4.30426
BOD1	NM_138369	3.51 	31.4289
BOD1L1	NM_148894	3.23 	3.75414
BOK	NM_032515	4.29 	40.3605
BOLA1	NM_016074	3.13 	8.38273
BOLA3	NM_212552	>24	15.9569
BOLA3	NM_001035505	>24	15.9569
BOLL	NM_197970	N.D.	0
BOLL	NM_033030	N.D.	0
BOP1	NM_015201	3.70 	2.45807
BORA	NM_024808	2.70 	0.948537
BPGM	NM_001724	4.86 	15.066
BPGM	NM_199186	4.86 	15.066
BPHL	NM_004332	2.60 	5.9452
BPI	NM_001725	N.D.	0.0197825
BPIFA1	NM_016583	N.D.	0
BPIFA1	NM_130852	N.D.	0
BPIFA2	NM_080574	N.D.	0
BPIFA3	NM_001042439	N.D.	0
BPIFA3	NM_178466	N.D.	0
BPIFB1	NM_033197	N.D.	0
BPIFB2	NM_025227	N.D.	0
BPIFB3	NM_182658	N.D.	0
BPIFB4	NM_182519	N.D.	0
BPIFB6	NM_174897	N.D.	0
BPIFC	NM_174932	N.D.	0
BPNT1	NM_006085	9.63 	8.39563
BPTF	NM_004459	5.14 	4.53297
BPTF	NM_182641	5.14 	4.53297
BRAF	NM_004333	2.67 	0.907857
BRAP	NM_006768	2.99 	5.52806
BRAT1	NM_152743	6.06 	11.788
BRCA1	NM_007299	8.00 	0.85143
BRCA1	NM_007297	8.00 	0.85143
BRCA1	NM_007298	8.00 	0.85143
BRCA1	NM_007300	8.00 	0.85143
BRCA1	NM_007294	8.00 	0.85143
BRCA2	NM_000059	2.63 	0.166852
BRCC3	NM_024332	3.51 	5.74347
BRCC3	NM_001018055	3.51 	5.74347
BRD1	NM_014577	2.60 	7.09061
BRD3	NM_007371	3.13 	11.0935
BRD4	NM_014299	6.33 	23.7671
BRD4	NM_058243	6.33 	23.7671
BRD7	NM_013263	3.33 	3.84066
BRD8	NM_006696	3.08 	11.4408
BRD8	NM_139199	3.08 	11.4408
BRD9	NM_001009877	2.94 	11.5305
BRD9	NM_023924	2.94 	11.5305
BRDT	NM_001726	N.D.	0
BRDT	NM_207189	N.D.	0
BRE	NM_199193	13.71 	28.7427
BRE	NM_199191	13.71 	28.7427
BRE	NM_004899	13.71 	28.7427
BRE	NM_199194	13.71 	28.7427
BRE	NM_199192	13.71 	28.7427
BRF1	NM_145685	5.04 	8.29366
BRF1	NM_001519	5.04 	8.29366
BRF2	NM_018310	2.22 	7.32318
BRI3	NM_015379	8.00 	320.23
BRI3BP	NM_080626	4.00 	1.77736
BRICD5	NM_182563	3.17 	1.163
BRIP1	NM_032043	2.70 	0.371776
BRIX1	NM_018321	2.82 	22.1245
BRK1	NM_018462	16.00 	111.873
BRMS1	NM_001024957	8.22 	20.3213
BRMS1	NM_015399	8.22 	20.3213
BRMS1L	NM_032352	3.28 	4.75363
BROX	NM_144695	9.78 	10.5386
BRPF1	NM_001003694	2.47 	3.16627
BRPF1	NM_004634	2.47 	3.16627
BRPF3	NM_015695	3.03 	5.54075
BRS3	NM_001727	N.D.	0
BRSK1	NM_032430	2.27 	2.4693
BRSK2	NM_003957	3.39 	0.145589
BRWD1	NM_033656	2.63 	3.63021
BRWD1	NM_001007246	2.63 	3.63021
BRWD1	NM_018963	2.63 	3.63021
BRWD3	NM_153252	4.00 	1.25482
BSCL2	NM_032667	>24	10.1339
BSDC1	NM_018045	3.51 	26.0613
BSG	NM_198590	>24	430.958
BSG	NM_001728	>24	430.958
BSG	NM_198589	>24	430.958
BSG	NM_198591	>24	430.958
BSN	NM_003458	N.D.	0.0334146
BSND	NM_057176	N.D.	0
BSPRY	NM_017688	N.D.	0
BST1	NM_004334	N.D.	17.3744
BST2	NM_004335	>24	2.11642
BTAF1	NM_003972	2.94 	3.4753
BTBD1	NM_001011885	12.00 	23.4136
BTBD1	NM_025238	12.00 	23.4136
BTBD10	NM_032320	3.70 	9.1712
BTBD11	NM_001018072	N.D.	0.0169545
BTBD11	NM_001017523	N.D.	0.0169545
BTBD16	NM_144587	N.D.	0.0189111
BTBD2	NM_017797	11.00 	46.5501
BTBD3	NM_014962	2.74 	4.64691
BTBD3	NM_181443	2.74 	4.64691
BTBD6	NM_033271	8.19 	20.5201
BTBD7	NM_001002860	2.74 	5.06683
BTBD7	NM_018167	2.74 	5.06683
BTBD8	NM_183242	N.D.	0.223114
BTBD9	NM_152733	2.38 	2.4285
BTC	NM_001729	N.D.	0
BTD	NM_000060	>24	7.49651
BTF3	NM_001207	19.90 	166.829
BTF3	NM_001037637	19.90 	166.829
BTF3L4	NM_152265	2.99 	9.42349
BTG1	NM_001731	2.94 	13.4465
BTG2	NM_006763	2.00 	14.1468
BTG3	NM_006806	2.41 	19.2347
BTG4	NM_017589	N.D.	0.0371296
BTK	NM_000061	N.D.	0.0136959
BTLA	NM_181780	N.D.	0
BTN1A1	NM_001732	N.D.	0.0122112
BTN2A1	NM_007049	2.86 	8.73242
BTN2A1	NM_078476	2.86 	8.73242
BTN2A2	NM_181531	3.08 	3.20011
BTN2A2	NM_006995	3.08 	3.20011
BTN3A1	NM_007048	4.28 	4.47131
BTN3A2	NM_007047	6.71 	6.37812
BTN3A3	NM_197974	3.03 	3.99661
BTN3A3	NM_006994	3.03 	3.99661
BTNL3	NM_197975	N.D.	0
BTNL8	NM_024850	N.D.	0
BTNL9	NM_152547	N.D.	0.0105398
BTRC	NM_003939	>24	4.07119
BTRC	NM_033637	>24	4.07119
BUB1	NM_004336	8.40 	1.08935
BUB1B	NM_001211	3.85 	0.663722
BUB3	NM_001007793	5.86 	25.3074
BUB3	NM_004725	5.86 	25.3074
BUD13	NM_032725	2.35 	4.55287
BUD31	NM_003910	5.60 	46.6089
BVES	NM_007073	N.D.	3.17074
BVES	NM_147147	N.D.	3.17074
BYSL	NM_004053	3.17 	9.22335
BZRAP1	NM_004758	N.D.	1.02815
BZW1	NM_014670	11.68 	21.3183
BZW2	NM_014038	13.03 	18.0923
C10orf10	NM_007021	N.D.	4.38416
C10orf107	NM_173554	N.D.	3.11124
C10orf11	NM_032024	3.77 	0.854274
C10orf111	NM_153244	N.D.	0.0416481
C10orf113	NM_001010896	N.D.	0
C10orf114	NM_001010911	2.47 	3.5552
C10orf116	NM_006829	2.35 	7.85416
C10orf118	NM_018017	2.30 	1.61872
C10orf12	NM_015652	3.23 	0.403688
C10orf120	NM_001010912	N.D.	0
C10orf129	NM_207321	N.D.	0
C10orf137	NM_015608	3.08 	2.72473
C10orf2	NM_021830	2.53 	3.00278
C10orf25	NM_001039380	N.D.	0.918146
C10orf32	NM_144591	2.82 	11.0312
C10orf35	NM_145306	5.54 	1.30016
C10orf53	NM_001042427	N.D.	0
C10orf53	NM_182554	N.D.	0
C10orf54	NM_022153	N.D.	31.7086
C10orf55	NM_001001791	N.D.	7.52152e-56
C10orf62	NM_001009997	N.D.	0
C10orf67	NM_153714	N.D.	0.0112095
C10orf68	NM_024688	2.56 	0.081798
C10orf71	NM_199459	N.D.	0
C10orf76	NM_024541	5.88 	7.31265
C10orf82	NM_144661	N.D.	0
C10orf88	NM_024942	2.17 	2.30433
C10orf90	NM_001004298	N.D.	0.0106257
C10orf91	NM_173541	2.47 	0
C10orf95	NM_024886	2.67 	0.171526
C10orf99	NM_207373	N.D.	0
C11orf1	NM_022761	N.D.	4.65645
C11orf16	NM_020643	4.30 	0
C11orf24	NM_022338	3.45 	31.0576
C11orf30	NM_020193	3.08 	1.61701
C11orf31	NM_170746	>24	45.9964
C11orf35	NM_173573	N.D.	0.939114
C11orf40	NM_144663	N.D.	0
C11orf42	NM_173525	3.57 	0
C11orf45	NM_145013	N.D.	0.464614
C11orf48	NM_024099	3.17 	10.3992
C11orf49	NM_001003677	3.57 	14.4555
C11orf49	NM_024113	3.57 	14.4555
C11orf49	NM_001003678	3.57 	14.4555
C11orf49	NM_001003676	3.57 	14.4555
C11orf52	NM_080659	N.D.	1.15698
C11orf53	NM_198498	N.D.	0.0998375
C11orf54	NM_014039	3.45 	3.8775
C11orf57	NM_018195	2.78 	8.42958
C11orf58	NM_014267	10.15 	23.9309
C11orf63	NM_024806	N.D.	2.00705
C11orf63	NM_199124	N.D.	2.00705
C11orf65	NM_152587	N.D.	0.126082
C11orf68	NM_031450	3.13 	46.7148
C11orf70	NM_032930	N.D.	1.05588
C11orf71	NM_019021	2.99 	2.05891
C11orf73	NM_016401	11.27 	14.6236
C11orf74	NM_138787	2.82 	10.3787
C11orf75	NM_020179	3.28 	8.86916
C11orf80	NM_024650	3.13 	1.77794
C11orf82	NM_145018	2.70 	0.247638
C11orf84	NM_138471	3.17 	11.0488
C11orf85	NM_001037225	N.D.	0
C11orf87	NM_207645	N.D.	0.305849
C11orf88	NM_207430	N.D.	0.388593
C12orf10	NM_021640	16.89 	20.4105
C12orf23	NM_152261	3.03 	31.3271
C12orf29	NM_001009894	3.17 	3.58524
C12orf39	NM_030572	N.D.	0
C12orf4	NM_020374	5.47 	4.1808
C12orf40	NM_001031748	N.D.	0
C12orf42	NM_198521	N.D.	0
C12orf43	NM_022895	2.67 	6.20782
C12orf44	NM_021934	2.94 	39.8321
C12orf45	NM_152318	2.90 	7.86695
C12orf49	NM_024738	6.00 	11.9326
C12orf5	NM_020375	2.70 	4.96479
C12orf50	NM_152589	N.D.	0
C12orf52	NM_032848	6.37 	8.01187
C12orf54	NM_152319	3.57 	0
C12orf57	NM_138425	>24	129.805
C12orf60	NM_175874	N.D.	0.226913
C12orf61	NM_175895	2.86 	0.477537
C12orf65	NM_152269	2.41 	5.47519
C12orf66	NM_152440	N.D.	0.917777
C12orf68	NM_001013635	N.D.	0.228593
C12orf69	NM_001013698	N.D.	0.786184
C12orf74	NM_001037671	N.D.	0
C12orf76	NM_207435	N.D.	1.14848
C13orf35	NM_207440	N.D.	0
C14orf1	NM_007176	17.03 	24.2326
C14orf101	NM_017799	2.86 	4.71677
C14orf105	NM_018168	N.D.	0
C14orf119	NM_017924	3.33 	18.5229
C14orf142	NM_032490	6.33 	4.26368
C14orf159	NM_024952	N.D.	9.16017
C14orf166	NM_016039	20.00 	61.0216
C14orf166B	NM_194287	N.D.	0
C14orf169	NM_024644	2.20 	5.65853
C14orf177	NM_182560	N.D.	0
C14orf178	NM_174943	2.20 	0
C14orf180	NM_001008404	2.04 	0
C14orf182	NM_001012706	N.D.	0
C14orf183	NM_001014830	2.06 	0
C14orf2	NM_004894	>24	79.4176
C14orf28	NM_001017923	N.D.	2.38898
C14orf37	NM_001001872	>24	1.31395
C14orf39	NM_174978	N.D.	0.00917821
C14orf79	NM_174891	2.44 	2.54985
C14orf93	NM_021944	2.94 	2.52921
C15orf26	NM_173528	N.D.	0
C15orf27	NM_152335	2.47 	0.424722
C15orf32	NM_153040	N.D.	0
C15orf38	NM_182616	4.00 	8.41471
C15orf39	NM_015492	2.22 	4.16103
C15orf40	NM_144597	2.78 	6.33535
C15orf41	NM_032499	2.67 	4.02782
C15orf43	NM_152448	N.D.	0
C15orf48	NM_032413	N.D.	2.25792
C15orf48	NM_197955	N.D.	2.25792
C15orf52	NM_207380	2.15 	12.2389
C15orf53	NM_207444	N.D.	0
C15orf54	NM_207445	N.D.	0.0635007
C15orf55	NM_175741	N.D.	0
C15orf56	NM_001039905	N.D.	0
C15orf57	NM_052849	4.53 	5.76471
C15orf59	NM_001039614	N.D.	7.60424
C15orf60	NM_001042367	2.56 	0
C16orf11	NM_145270	N.D.	0
C16orf13	NM_001040162	18.86 	35.4605
C16orf13	NM_001040161	18.86 	35.4605
C16orf13	NM_001040160	18.86 	35.4605
C16orf13	NM_032366	18.86 	35.4605
C16orf13	NM_001040165	18.86 	35.4605
C16orf3	NM_001214	N.D.	0.385565
C16orf45	NM_033201	8.00 	13.0692
C16orf46	NM_152337	3.08 	0.633982
C16orf55	NM_153025	3.85 	1.03243
C16orf58	NM_022744	6.40 	36.6345
C16orf59	NM_025108	5.21 	1.01302
C16orf62	NM_020314	14.14 	18.993
C16orf70	NM_025187	2.53 	4.2772
C16orf71	NM_139170	N.D.	0.279908
C16orf72	NM_014117	3.51 	15.9534
C16orf74	NM_206967	2.35 	6.33874
C16orf78	NM_144602	N.D.	0
C16orf80	NM_013242	4.93 	15.3464
C16orf86	NM_001012984	N.D.	1.31204
C16orf87	NM_001001436	2.35 	3.3702
C16orf88	NM_001012991	2.78 	5.71542
C16orf89	NM_152459	N.D.	0.123381
C16orf93	NM_001014979	5.46 	0.273545
C17orf102	NM_207454	N.D.	0
C17orf103	NM_152914	2.70 	15.1741
C17orf47	NM_001038704	N.D.	0
C17orf49	NM_174893	19.32 	27.7729
C17orf50	NM_145272	N.D.	0
C17orf53	NM_024032	2.60 	0.522654
C17orf58	NM_181656	2.41 	4.59647
C17orf58	NM_181655	2.41 	4.59647
C17orf59	NM_017622	2.20 	5.3959
C17orf62	NM_001033046	3.45 	29.1183
C17orf64	NM_181707	N.D.	0
C17orf66	NM_152781	N.D.	0
C17orf70	NM_025161	6.96 	11.1976
C17orf74	NM_175734	N.D.	0
C17orf75	NM_022344	9.13 	2.16514
C17orf77	NM_152460	N.D.	0
C17orf78	NM_173625	N.D.	0
C17orf80	NM_017941	2.35 	4.68507
C17orf82	NM_203425	N.D.	0.442672
C17orf97	NM_001013672	N.D.	1.0518
C18orf21	NM_031446	2.78 	8.05876
C18orf25	NM_001008239	2.56 	4.57141
C18orf25	NM_145055	2.56 	4.57141
C18orf32	NM_001035005	7.20 	15.2665
C18orf54	NM_173529	N.D.	0.40783
C18orf56	NM_001012716	18.58 	0.971146
C18orf62	NM_001037331	N.D.	0
C18orf8	NM_013326	8.48 	9.14119
C19orf10	NM_019107	>24	143.216
C19orf12	NM_031448	2.86 	8.22053
C19orf12	NM_001031726	2.86 	8.22053
C19orf18	NM_152474	N.D.	0.375104
C19orf21	NM_173481	3.13 	0.0152562
C19orf24	NM_017914	7.48 	30.8259
C19orf25	NM_152482	3.17 	8.10376
C19orf26	NM_152769	3.13 	2.74303
C19orf33	NM_033520	3.85 	0.770426
C19orf35	NM_198532	N.D.	0.121324
C19orf40	NM_152266	4.00 	2.41229
C19orf43	NM_024038	7.22 	150.619
C19orf44	NM_032207	3.39 	1.77529
C19orf45	NM_198534	N.D.	0
C19orf48	NM_199249	2.78 	16.4382
C19orf48	NM_199250	2.78 	16.4382
C19orf52	NM_138358	3.51 	11.5818
C19orf53	NM_014047	16.00 	72.6223
C19orf54	NM_198476	6.84 	4.31056
C19orf55	NM_001039887	4.13 	2.85022
C19orf57	NM_024323	N.D.	0.334471
C19orf59	NM_174918	N.D.	0
C19orf6	NM_001033026	8.28 	73.2882
C19orf6	NM_033420	8.28 	73.2882
C19orf66	NM_018381	4.56 	17.1673
C19orf70	NM_205767	16.15 	36.7704
C19orf73	NM_018111	N.D.	0.63741
C19orf80	NM_018687	2.78 	0
C1D	NM_173177	3.13 	7.97786
C1D	NM_006333	3.13 	7.97786
C1GALT1	NM_020156	2.27 	3.50345
C1GALT1C1	NM_152692	11.42 	33.3643
C1GALT1C1	NM_001011551	11.42 	33.3643
C1orf100	NM_001012970	2.25 	0
C1orf101	NM_173807	N.D.	0.142767
C1orf105	NM_139240	2.63 	0
C1orf106	NM_018265	N.D.	0.0195257
C1orf109	NM_017850	2.78 	6.22194
C1orf110	NM_178550	N.D.	0.0214737
C1orf111	NM_182581	N.D.	0
C1orf112	NM_018186	3.23 	0.964307
C1orf114	NM_021179	N.D.	0
C1orf115	NM_024709	4.00 	4.33389
C1orf116	NM_023938	N.D.	0.0182572
C1orf122	NM_198446	9.71 	40.5795
C1orf123	NM_017887	3.17 	30.7459
C1orf131	NM_152379	2.44 	5.95273
C1orf141	NM_001013674	2.47 	0
C1orf146	NM_001012425	N.D.	0
C1orf158	NM_152290	N.D.	0.0405684
C1orf159	NM_017891	3.85 	3.61104
C1orf162	NM_174896	N.D.	0.044045
C1orf168	NM_001004303	N.D.	0
C1orf172	NM_152365	N.D.	0
C1orf173	NM_001002912	N.D.	0
C1orf174	NM_207356	2.99 	9.7579
C1orf177	NM_152607	N.D.	0
C1orf186	NM_001007544	N.D.	0
C1orf189	NM_001010979	N.D.	0.182725
C1orf192	NM_001013625	8.95 	0.592604
C1orf198	NM_032800	5.78 	124.478
C1orf21	NM_030806	N.D.	2.13187
C1orf210	NM_182517	N.D.	0
C1orf216	NM_152374	3.08 	11.7259
C1orf227	NM_001024601	N.D.	0.108493
C1orf229	NM_207401	N.D.	0.246543
C1orf27	NM_017847	3.17 	3.90334
C1orf35	NM_024319	4.00 	8.55473
C1orf43	NM_015449	11.57 	88.3582
C1orf43	NM_138740	11.57 	88.3582
C1orf50	NM_024097	3.64 	7.10387
C1orf51	NM_144697	N.D.	1.528
C1orf52	NM_198077	2.53 	4.7016
C1orf53	NM_001024594	3.28 	4.85851
C1orf54	NM_024579	N.D.	3.52335
C1orf56	NM_017860	4.17 	2.2328
C1orf61	NM_006365	N.D.	0
C1orf63	NM_020317	2.27 	18.706
C1orf64	NM_178840	N.D.	0
C1orf65	NM_152610	N.D.	0
C1orf74	NM_152485	2.00 	0.958186
C1orf85	NM_144580	21.23 	83.1645
C1orf86	NM_182533	6.00 	47.6464
C1orf87	NM_152377	N.D.	0
C1orf94	NM_032884	N.D.	0
C1orf95	NM_001003665	N.D.	0.0419385
C1QA	NM_015991	N.D.	0
C1QB	NM_000491	N.D.	0
C1QBP	NM_001212	21.60 	46.7311
C1QC	NM_172369	N.D.	0
C1QL1	NM_006688	>24	0.273684
C1QL2	NM_182528	N.D.	0
C1QL3	NM_001010908	N.D.	0.245817
C1QL4	NM_001008223	N.D.	0
C1QTNF1	NM_030968	3.03 	13.8131
C1QTNF1	NM_198593	3.03 	13.8131
C1QTNF1	NM_198594	3.03 	13.8131
C1QTNF2	NM_031908	N.D.	0.876481
C1QTNF3	NM_181435	N.D.	0.157172
C1QTNF3	NM_030945	N.D.	0.157172
C1QTNF4	NM_031909	N.D.	0.216962
C1QTNF5	NM_015645	N.D.	17.6321
C1QTNF6	NM_031910	N.D.	7.07998
C1QTNF6	NM_182486	N.D.	7.07998
C1QTNF7	NM_031911	N.D.	0.0654079
C1QTNF8	NM_207419	N.D.	0
C1QTNF9	NM_178540	N.D.	0.0183598
C1QTNF9B	NM_001007537	N.D.	3.25663e-07
C1QTNF9B-AS1	NM_001014442	15.23 	0.852293
C1R	NM_001733	N.D.	319.237
C1RL	NM_016546	3.45 	13.4013
C1S	NM_001734	>24	348.453
C1S	NM_201442	>24	348.453
C20orf111	NM_016470	2.47 	14.0798
C20orf112	NM_080616	2.50 	2.26258
C20orf118	NM_080628	17.36 	0.105475
C20orf141	NM_080739	N.D.	0.0972603
C20orf144	NM_080825	2.94 	0
C20orf166	NM_178463	N.D.	0
C20orf195	NM_024059	N.D.	0.172076
C20orf196	NM_152504	2.44 	0.994016
C20orf197	NM_173644	N.D.	0.0109481
C20orf201	NM_001007125	N.D.	0
C20orf24	NM_018840	8.91 	63.8314
C20orf24	NM_199483	8.91 	63.8314
C20orf26	NM_015585	N.D.	0.0179245
C20orf27	NM_001039140	20.35 	20.9212
C20orf85	NM_178456	N.D.	0
C20orf96	NM_153269	N.D.	2.49343
C21orf2	NM_004928	3.08 	7.77743
C21orf33	NM_004649	4.00 	31.0664
C21orf33	NM_198155	4.00 	31.0664
C21orf58	NM_058180	2.38 	1.12217
C21orf59	NM_021254	9.93 	18.447
C21orf62	NM_019596	N.D.	0.0072597
C21orf7	NM_020152	3.08 	2.18074
C21orf91	NM_017447	2.67 	1.92247
C22orf15	NM_182520	2.50 	0.775018
C22orf23	NM_032561	N.D.	5.30401
C22orf26	NM_018280	2.38 	0.116375
C22orf28	NM_014306	11.61 	32.3513
C22orf29	NM_024627	2.44 	5.9382
C22orf31	NM_015370	N.D.	0
C22orf32	NM_033318	3.33 	11.7374
C22orf39	NM_173793	3.51 	7.01543
C22orf42	NM_001010859	N.D.	0
C22orf43	NM_016449	N.D.	0
C2CD2	NM_199050	3.45 	3.28818
C2CD2L	NM_014807	4.00 	3.14138
C2CD3	NM_015531	8.00 	2.22935
C2CD4A	NM_207322	N.D.	0.010831
C2CD4B	NM_001007595	N.D.	0
C2orf15	NM_144706	N.D.	0.136353
C2orf16	NM_032266	N.D.	0.215323
C2orf27A	NM_013310	9.57 	0.254399
C2orf27B	NM_214461	N.D.	0
C2orf40	NM_032411	N.D.	0
C2orf42	NM_017880	2.33 	3.21128
C2orf43	NM_021925	2.99 	4.03469
C2orf44	NM_025203	2.08 	2.28237
C2orf47	NM_024520	6.63 	7.91298
C2orf48	NM_182626	2.33 	0
C2orf49	NM_024093	2.20 	6.7807
C2orf50	NM_182500	N.D.	0
C2orf53	NM_178553	N.D.	0
C2orf54	NM_024861	N.D.	0
C2orf57	NM_152614	N.D.	0
C2orf61	NM_173649	N.D.	0.0445549
C2orf62	NM_198559	N.D.	0
C2orf66	NM_213608	N.D.	0.0541485
C2orf68	NM_001013649	9.66 	3.79891
C2orf69	NM_153689	2.27 	3.89893
C2orf71	NM_001029883	N.D.	0
C2orf76	NM_001017927	2.38 	3.06393
C2orf82	NM_206895	3.45 	0.526125
C2orf83	NM_020161	N.D.	0
C2orf88	NM_032321	2.27 	0.0905994
C2orf88	NM_001042521	2.27 	0.0905994
C2orf88	NM_001042520	2.27 	0.0905994
C2orf88	NM_001042519	2.27 	0.0905994
C3	NM_000064	>24	0.768633
C3AR1	NM_004054	N.D.	0.0378238
C3orf14	NM_020685	N.D.	8.94298
C3orf17	NM_015412	2.86 	5.64555
C3orf18	NM_016210	6.75 	7.45967
C3orf20	NM_032137	N.D.	0
C3orf22	NM_152533	N.D.	0
C3orf27	NM_007354	N.D.	0
C3orf30	NM_152539	N.D.	0
C3orf33	NM_173657	2.35 	1.64932
C3orf35	NM_178339	2.13 	0.170847
C3orf35	NM_178342	2.13 	0.170847
